rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
70,30,920632,1178344,20,15,29.114099502563477,34.773963928222656,66.7699966430664,0.0,0.0,26,21,67.35673522949219
70,30,920548,1178380,20,15,28.966064453125,34.773963928222656,67.35673522949219,0.0,0.0,26,21,67.83241271972656
70,30,920604,1178461,20,15,29.190486907958984,34.773963928222656,67.83241271972656,0.0,0.0,26,21,63.80067443847656
70,30,920659,1178614,20,15,29.099498748779297,32.68654251098633,63.80067443847656,0.0,0.0,26,22,60.53359603881836
70,30,920699,1178561,20,15,29.36005973815918,33.24152755737305,60.53359603881836,0.0,0.0,26,22,61.466636657714844
70,30,920615,1178598,20,15,29.367263793945312,33.24152755737305,61.466636657714844,0.0,0.0,26,22,61.46725082397461
70,30,920670,1178571,20,15,29.277318954467773,33.656978607177734,61.46725082397461,0.0,0.0,26,22,62.30666732788086
70,30,920576,1178507,20,15,29.309612274169922,34.10547637939453,62.30666732788086,0.0,0.0,26,22,63.06044387817383
70,30,920631,1178456,20,15,29.31467628479004,34.06205749511719,63.06044387817383,0.0,0.0,26,22,64.34916687011719
70,30,920548,1178425,20,15,30.059770584106445,34.06205749511719,64.34916687011719,0.0,0.0,26,21,65.39279174804688
70,30,920603,1178464,20,15,30.546327590942383,34.06205749511719,65.39279174804688,0.0,0.0,26,20,66.23814392089844
70,30,920647,1178583,20,15,30.4074649810791,34.06205749511719,66.23814392089844,0.0,0.0,26,20,66.5995101928711
70,30,920702,1178688,20,15,30.503990173339844,32.078758239746094,66.5995101928711,0.0,0.0,26,20,64.42140197753906
70,30,920892,1178745,20,15,30.6093807220459,32.55076217651367,64.42140197753906,0.0,0.0,26,21,64.96550750732422
70,30,920798,1178746,20,15,30.281482696533203,32.55076217651367,64.96550750732422,0.0,0.0,26,21,65.45408630371094
70,30,920853,1178760,20,15,29.956378936767578,33.011661529541016,65.45408630371094,0.0,0.0,26,21,65.8933334350586
70,30,920759,1178665,20,15,30.59548568725586,33.011661529541016,65.8933334350586,0.0,0.0,26,20,66.64488983154297
70,30,920814,1178630,20,15,31.020776748657227,33.027034759521484,66.64488983154297,0.0,0.0,26,19,66.96524047851562
70,30,920730,1178839,20,15,30.404346466064453,33.027034759521484,66.96524047851562,0.0,0.0,26,20,67.25367736816406
70,30,920924,1178966,20,15,29.95993995666504,33.41659164428711,67.25367736816406,0.0,0.0,26,20,67.74903106689453
70,30,920964,1178892,20,15,30.334835052490234,33.41659164428711,67.74903106689453,0.0,0.0,26,20,67.9609146118164
70,30,920880,1178950,20,15,30.362754821777344,33.41659164428711,67.9609146118164,0.0,0.0,26,20,62.48391342163086
70,30,920925,1179064,20,15,30.298276901245117,31.52955436706543,62.48391342163086,0.0,0.0,26,21,63.22190475463867
70,30,920980,1179071,20,15,30.14285659790039,32.0925178527832,63.22190475463867,0.0,0.0,26,21,63.22283172607422
70,30,921035,1179054,20,15,30.233007431030273,33.069068908691406,63.22283172607422,0.0,0.0,26,21,63.886695861816406
70,30,920951,1178994,20,15,30.134614944458008,33.069068908691406,63.886695861816406,0.0,0.0,26,21,64.48458862304688
70,30,920857,1179103,20,15,29.737150192260742,33.069068908691406,64.48458862304688,0.0,0.0,26,21,62.4707145690918
70,30,921051,1179269,20,15,29.426387786865234,30.777996063232422,62.4707145690918,0.0,0.0,26,22,62.47087478637695
70,30,921101,1179283,20,15,29.309236526489258,31.364715576171875,62.47087478637695,0.0,0.0,26,22,62.4710578918457
70,30,921146,1179164,20,15,29.720993041992188,32.501312255859375,62.4710578918457,0.0,0.0,26,21,63.87255859375
70,30,921062,1179199,20,15,29.564180374145508,32.501312255859375,63.87255859375,0.0,0.0,26,21,65.00806427001953
70,30,921107,1179267,20,15,29.625,30.091142654418945,65.00806427001953,0.0,0.0,26,21,58.64719009399414
70,30,921162,1179441,20,15,29.706157684326172,30.091142654418945,58.64719009399414,0.0,0.0,26,22,56.93619918823242
70,30,921202,1179446,20,15,29.600046157836914,30.731040954589844,56.93619918823242,0.0,0.0,26,22,58.22980499267578
70,30,921257,1179483,20,15,29.525989532470703,31.382471084594727,58.22980499267578,0.0,0.0,26,22,59.3922004699707
70,30,921173,1179432,20,15,29.48056411743164,31.382471084594727,59.3922004699707,0.0,0.0,26,22,60.439151763916016
70,30,921218,1179368,20,15,29.444202423095703,32.0963020324707,60.439151763916016,0.0,0.0,26,22,61.381893157958984
70,30,921134,1179287,20,15,29.838533401489258,32.0963020324707,61.381893157958984,0.0,0.0,26,21,62.2303581237793
70,30,921051,1179232,20,15,30.359365463256836,32.0963020324707,62.2303581237793,0.0,0.0,26,20,62.993995666503906
70,30,920968,1179266,20,15,30.322473526000977,32.0963020324707,62.993995666503906,0.0,0.0,26,20,64.29981994628906
70,30,921022,1179515,20,15,30.287906646728516,32.0963020324707,64.29981994628906,0.0,0.0,26,20,65.35826110839844
70,30,921339,1179845,20,15,29.67325210571289,33.14787673950195,65.35826110839844,0.0,0.0,26,21,65.35836029052734
70,30,921394,1179785,20,15,29.71666145324707,33.17932891845703,65.35836029052734,0.0,0.0,26,20,65.80899810791016
70,30,921311,1179768,20,15,29.52003288269043,33.17932891845703,65.80899810791016,0.0,0.0,26,21,66.21466064453125
70,30,921217,1179760,20,15,29.536991119384766,33.17932891845703,66.21466064453125,0.0,0.0,26,21,66.5796127319336
70,30,921271,1179789,20,15,29.401533126831055,33.65854263305664,66.5796127319336,0.0,0.0,26,21,67.2018051147461
70,30,921326,1179795,20,15,29.424911499023438,34.07918167114258,67.2018051147461,0.0,0.0,26,22,67.4666976928711
70,30,921371,1179716,20,15,29.971179962158203,34.100059509277344,67.4666976928711,0.0,0.0,26,21,67.91929626464844
70,30,921426,1179697,20,15,30.431507110595703,34.100059509277344,67.91929626464844,0.0,0.0,26,20,68.1124496459961
70,30,921342,1179726,20,15,30.295930862426758,34.100059509277344,68.1124496459961,0.0,0.0,26,20,68.11344146728516
70,30,921387,1179738,20,15,30.45315933227539,34.52386474609375,68.11344146728516,0.0,0.0,26,20,68.44508361816406
70,30,921441,1179790,20,15,30.584909439086914,34.50689697265625,68.44508361816406,0.0,0.0,26,21,68.58688354492188
70,30,921492,1179845,20,15,30.547945022583008,34.83297348022461,68.58688354492188,0.0,0.0,26,21,68.83151245117188
70,30,921536,1179870,20,15,30.896528244018555,35.28200912475586,68.83151245117188,0.0,0.0,26,21,68.83182525634766
70,30,921453,1179810,20,15,30.90235137939453,35.28200912475586,68.83182525634766,0.0,0.0,26,21,68.93566131591797
70,30,921369,1179794,20,15,30.604589462280273,35.49579620361328,68.93566131591797,0.0,0.0,26,21,69.02847290039062
70,30,921414,1179785,20,15,30.54401397705078,35.503440856933594,69.02847290039062,0.0,0.0,26,21,69.187744140625
70,30,921330,1179836,20,15,30.40811538696289,35.503440856933594,69.187744140625,0.0,0.0,26,22,67.03169250488281
70,30,921519,1179831,20,15,30.442604064941406,33.788875579833984,67.03169250488281,0.0,0.0,26,22,67.56741333007812
70,30,921425,1179861,20,15,30.547975540161133,33.788875579833984,67.56741333007812,0.0,0.0,26,22,68.1866226196289
70,30,921480,1179975,20,15,30.633426666259766,33.788875579833984,68.1866226196289,0.0,0.0,26,22,68.1866226196289
70,30,921673,1179869,20,15,30.633426666259766,34.15963363647461,68.1866226196289,0.0,0.0,26,22,68.1866226196289
70,30,921579,1179749,20,15,30.633426666259766,34.15963363647461,68.1866226196289,0.0,0.0,26,22,68.35455322265625
70,30,921485,1179676,20,15,30.593618392944336,34.45224380493164,68.35455322265625,0.0,0.0,26,22,68.35455322265625
70,30,921402,1179569,20,15,30.593618392944336,34.45224380493164,68.35455322265625,0.0,0.0,26,22,68.50407409667969
70,30,921319,1179824,20,15,29.923799514770508,32.020755767822266,68.50407409667969,0.0,0.0,26,22,63.913597106933594
70,30,921649,1180153,20,15,29.23054313659668,32.020755767822266,63.913597106933594,0.0,0.0,26,22,63.9138298034668
70,30,921827,1180153,20,15,29.074811935424805,33.422733306884766,63.9138298034668,0.0,0.0,26,22,64.5073471069336
70,30,921744,1180093,20,15,29.11920928955078,33.422733306884766,64.5073471069336,0.0,0.0,26,22,65.04171752929688
70,30,921650,1180202,20,15,28.831968307495117,33.422733306884766,65.04171752929688,0.0,0.0,26,23,62.6911506652832
