timestamp,rnti,phr,dl_tbs,ul_tbs,dl_aggr_prb,wb_cqi,pusch_snr,pucch_snr,ul_rssi,dl_bler,ul_bler,dl_mcs,ul_mcs,target_future_rssi
1764717458565136.0,72,30,522405,755804,11,15,29.291532516479492,34.67319869995117,67.66710662841797,0.0,0.0,26,21,67.92790222167969
1764717458575134.0,72,30,522467,755841,11,15,28.988325119018555,34.64257049560547,67.92790222167969,0.0,0.0,26,21,67.92790222167969
1764717458585150.0,72,30,522454,755822,11,15,28.988325119018555,34.98837661743164,67.92790222167969,0.0,0.0,26,21,68.16314697265625
1764717458595128.0,72,30,522441,755816,11,15,28.970979690551758,34.98837661743164,68.16314697265625,0.0,0.0,26,21,68.3750228881836
1764717458605361.0,72,30,522426,755858,11,15,28.66903305053711,33.5334358215332,68.3750228881836,0.0,0.0,26,22,66.99593353271484
1764717458615137.0,72,30,522489,755915,11,15,28.511030197143555,33.5334358215332,66.99593353271484,0.0,0.0,26,22,65.75479125976562
1764717458625150.0,72,30,522552,755986,11,15,28.201251983642578,34.40419006347656,65.75479125976562,0.0,0.0,26,22,66.20742797851562
1764717458635132.0,72,30,522539,755978,11,15,28.250286102294922,34.45024108886719,66.20742797851562,0.0,0.0,26,22,66.61480712890625
1764717458645137.0,72,30,522561,755969,11,15,28.30002784729004,34.76128387451172,66.61480712890625,0.0,0.0,26,22,67.31111145019531
1764717458655141.0,72,30,522548,755979,11,15,28.657901763916016,34.76128387451172,67.31111145019531,0.0,0.0,26,21,67.60843658447266
1764717458665151.0,72,30,522571,756005,11,15,28.90167236328125,34.76128387451172,67.60843658447266,0.0,0.0,26,22,68.11629486083984
1764717458675134.0,72,30,522597,756054,11,15,28.84100914001465,34.78840255737305,68.11629486083984,0.0,0.0,26,22,68.117431640625
1764717458685183.0,72,30,522620,756066,11,15,28.950939178466797,35.086944580078125,68.117431640625,0.0,0.0,26,21,68.33450317382812
1764717458695135.0,72,30,522645,756087,11,15,29.220651626586914,35.34159851074219,68.33450317382812,0.0,0.0,26,21,68.52876281738281
1764717458705131.0,72,30,522632,756102,11,15,29.058549880981445,35.601661682128906,68.52876281738281,0.0,0.0,26,22,68.70360565185547
1764717458715138.0,72,30,522656,756114,11,15,28.903404235839844,35.53911209106445,68.70360565185547,0.0,0.0,26,22,67.28081512451172
1764717458725219.0,72,30,522643,756102,11,15,29.545820236206055,34.080745697021484,67.28081512451172,0.0,0.0,26,21,64.84778594970703
1764717458735147.0,72,30,522668,756103,11,15,29.91924476623535,34.080745697021484,64.84778594970703,0.0,0.0,26,20,63.81061553955078
1764717458745140.0,72,30,522653,756167,11,15,29.400245666503906,34.080745697021484,63.81061553955078,0.0,0.0,26,21,62.036865234375
1764717458755133.0,72,30,522678,756213,11,15,29.351587295532227,34.080745697021484,62.036865234375,0.0,0.0,26,21,62.86117935180664
1764717458765152.0,72,30,522742,756236,11,15,29.25615692138672,34.42235565185547,62.86117935180664,0.0,0.0,26,21,63.60335922241211
1764717458775132.0,72,30,522766,756243,11,15,29.110158920288086,34.708126068115234,63.60335922241211,0.0,0.0,26,21,64.27132415771484
1764717458785167.0,72,30,522752,756225,11,15,29.441144943237305,34.708126068115234,64.27132415771484,0.0,0.0,26,21,64.87091064453125
1764717458795374.0,72,30,522738,756244,11,15,29.23691177368164,34.96810531616211,64.87091064453125,0.0,0.0,26,21,65.40990447998047
1764717458805146.0,72,30,522763,756277,11,15,29.25755500793457,34.96810531616211,65.40990447998047,0.0,0.0,26,21,65.89512634277344
1764717458815124.0,72,30,522788,756323,11,15,29.136524200439453,34.96810531616211,65.89512634277344,0.0,0.0,26,21,66.33240509033203
1764717458825130.0,72,30,522813,756328,11,15,29.290184020996094,35.234527587890625,66.33240509033203,0.0,0.0,26,21,66.7263412475586
1764717458835138.0,72,30,522799,756347,11,15,29.209609985351562,35.234527587890625,66.7263412475586,0.0,0.0,26,21,66.72605895996094
1764717458845137.0,72,30,522824,756344,11,15,29.157503128051758,35.64283752441406,66.72605895996094,0.0,0.0,26,21,67.08119201660156
1764717458855142.0,72,30,522809,756344,11,15,29.042367935180664,35.64283752441406,67.08119201660156,0.0,0.0,26,21,67.40081024169922
1764717458865191.0,72,30,522834,756347,11,15,28.95085906982422,34.0826416015625,67.40081024169922,0.0,0.0,26,21,66.15745544433594
1764717458875137.0,72,30,522821,756335,11,15,29.536155700683594,34.0826416015625,66.15745544433594,0.0,0.0,26,21,64.03108978271484
1764717458885130.0,72,30,522806,756334,11,15,29.894746780395508,34.0826416015625,64.03108978271484,0.0,0.0,26,20,62.308929443359375
1764717458895136.0,72,30,522831,756414,11,15,29.3749942779541,34.0826416015625,62.308929443359375,0.0,0.0,26,21,60.91398239135742
1764717458905144.0,72,30,522933,756513,11,15,28.739896774291992,34.053260803222656,60.91398239135742,0.0,0.0,26,21,60.31903076171875
1764717458915137.0,72,30,522958,756497,11,15,29.00418472290039,34.36514663696289,60.31903076171875,0.0,0.0,26,21,62.21149444580078
1764717458925145.0,72,30,522944,756489,11,15,29.411392211914062,34.36514663696289,62.21149444580078,0.0,0.0,26,21,63.01819610595703
1764717458935135.0,72,30,522931,756515,11,15,29.550203323364258,34.36514663696289,63.01819610595703,0.0,0.0,26,21,61.457210540771484
1764717458945132.0,72,30,522956,756563,11,15,29.518634796142578,32.989990234375,61.457210540771484,0.0,0.0,26,21,60.79179382324219
1764717458955270.0,72,30,523018,756616,11,15,29.188682556152344,33.436832427978516,60.79179382324219,0.0,0.0,26,21,61.74032974243164
1764717458965149.0,72,30,523005,756613,11,15,29.13152503967285,33.90321731567383,61.74032974243164,0.0,0.0,26,22,62.59402084350586
1764717458975144.0,72,30,523029,756607,11,15,29.06830596923828,33.88055419921875,62.59402084350586,0.0,0.0,26,22,63.363948822021484
1764717458985137.0,72,30,523016,756610,11,15,29.277311325073242,33.88055419921875,63.363948822021484,0.0,0.0,26,21,64.05630493164062
1764717458995133.0,72,30,523039,756623,11,15,29.191072463989258,34.24059295654297,64.05630493164062,0.0,0.0,26,21,64.6794204711914
1764717459005142.0,72,30,523026,756644,11,15,29.020353317260742,34.24059295654297,64.6794204711914,0.0,0.0,26,21,64.6807632446289
1764717459015135.0,72,30,523087,756658,11,15,29.20460319519043,34.97297286987305,64.6807632446289,0.0,0.0,26,21,64.68009185791016
1764717459025144.0,72,30,523074,756652,11,15,29.26465606689453,34.97297286987305,64.68009185791016,0.0,0.0,26,21,65.23973846435547
